"","X","Date","SNDP"
"1",1,"1981-10-01",0
"2",2,"1981-10-02",0
"3",3,"1981-10-03",0
"4",4,"1981-10-04",0
"5",5,"1981-10-05",0
"6",6,"1981-10-06",0
"7",7,"1981-10-07",0
"8",8,"1981-10-08",0
"9",9,"1981-10-09",0
"10",10,"1981-10-10",0
"11",11,"1981-10-11",0
"12",12,"1981-10-12",0
"13",13,"1981-10-13",0
"14",14,"1981-10-14",0
"15",15,"1981-10-15",0
"16",16,"1981-10-16",0
"17",17,"1981-10-17",0
"18",18,"1981-10-18",0
"19",19,"1981-10-19",0
"20",20,"1981-10-20",0
"21",21,"1981-10-21",0
"22",22,"1981-10-22",0
"23",23,"1981-10-23",0
"24",24,"1981-10-24",0
"25",25,"1981-10-25",0
"26",26,"1981-10-26",0
"27",27,"1981-10-27",0
"28",28,"1981-10-28",0
"29",29,"1981-10-29",0
"30",30,"1981-10-30",0
"31",31,"1981-10-31",0
"32",32,"1981-11-01",0
"33",33,"1981-11-02",0
"34",34,"1981-11-03",0
"35",35,"1981-11-04",0
"36",36,"1981-11-05",0
"37",37,"1981-11-06",0
"38",38,"1981-11-07",0
"39",39,"1981-11-08",0
"40",40,"1981-11-09",0
"41",41,"1981-11-10",0
"42",42,"1981-11-11",0
"43",43,"1981-11-12",0
"44",44,"1981-11-13",0
"45",45,"1981-11-14",0
"46",46,"1981-11-15",0
"47",47,"1981-11-16",0
"48",48,"1981-11-17",0
"49",49,"1981-11-18",0
"50",50,"1981-11-19",0.353833333333333
"51",51,"1981-11-20",1.01325
"52",52,"1981-11-21",8.65283333333331
"53",53,"1981-11-22",8.65283333333331
"54",54,"1981-11-23",8.57241666666669
"55",55,"1981-11-24",8.60458333333331
"56",56,"1981-11-25",8.62066666666669
"57",57,"1981-11-26",8.63675
"58",58,"1981-11-27",9.28008333333331
"59",59,"1981-11-28",16.7105833333333
"60",60,"1981-11-29",13.2205
"61",61,"1981-11-30",13.4295833333333
"62",62,"1981-12-01",13.6869166666667
"63",63,"1981-12-02",14.089
"64",64,"1981-12-03",13.9764166666667
"65",65,"1981-12-04",15.054
"66",66,"1981-12-05",14.9575
"67",67,"1981-12-06",23.3851666666667
"68",68,"1981-12-07",26.10325
"69",69,"1981-12-08",27.2773333333333
"70",70,"1981-12-09",27.3255833333333
"71",71,"1981-12-10",27.9045833333333
"72",72,"1981-12-11",29.8185
"73",73,"1981-12-12",32.8260833333333
"74",74,"1981-12-13",31.9254166666667
"75",75,"1981-12-14",32.27925
"76",76,"1981-12-15",36.13925
"77",77,"1981-12-16",47.52625
"78",78,"1981-12-17",44.0361666666667
"79",79,"1981-12-18",47.33325
"80",80,"1981-12-19",63.8669166666667
"81",81,"1981-12-20",57.9804166666667
"82",82,"1981-12-21",63.4648333333333
"83",83,"1981-12-22",60.6341666666667
"84",84,"1981-12-23",64.3976666666667
"85",85,"1981-12-24",75.1735
"86",86,"1981-12-25",72.6001666666667
"87",87,"1981-12-26",76.3958333333333
"88",88,"1981-12-27",75.7525
"89",89,"1981-12-28",87.0751666666669
"90",90,"1981-12-29",89.69675
"91",91,"1981-12-30",91.3533333333331
"92",92,"1981-12-31",88.587
"93",93,"1982-01-01",91.3855
"94",94,"1982-01-02",114.256
"95",95,"1982-01-03",114.320333333333
"96",96,"1982-01-04",114.320333333333
"97",97,"1982-01-05",138.541833333333
"98",98,"1982-01-06",134.360166666667
"99",99,"1982-01-07",138.541833333333
"100",100,"1982-01-08",135.132166666667
"101",101,"1982-01-09",140.55225
"102",102,"1982-01-10",138.42925
"103",103,"1982-01-11",139.6355
"104",104,"1982-01-12",140.26275
"105",105,"1982-01-13",140.7935
"106",106,"1982-01-14",144.138833333333
"107",107,"1982-01-15",144.540916666667
"108",108,"1982-01-16",144.557
"109",109,"1982-01-17",146.084916666667
"110",110,"1982-01-18",146.084916666667
"111",111,"1982-01-19",146.084916666667
"112",112,"1982-01-20",146.084916666667
"113",113,"1982-01-21",146.036666666667
"114",114,"1982-01-22",146.0045
"115",115,"1982-01-23",146.084916666667
"116",116,"1982-01-24",157.809666666667
"117",117,"1982-01-25",158.002666666667
"118",118,"1982-01-26",157.986583333333
"119",119,"1982-01-27",158.083083333333
"120",120,"1982-01-28",158.083083333333
"121",121,"1982-01-29",158.59775
"122",122,"1982-01-30",158.69425
"123",123,"1982-01-31",164.130416666667
"124",124,"1982-02-01",175.469166666667
"125",125,"1982-02-02",176.981
"126",126,"1982-02-03",178.734083333333
"127",127,"1982-02-04",184.282833333333
"128",128,"1982-02-05",184.315
"129",129,"1982-02-06",188.528833333333
"130",130,"1982-02-07",188.496666666667
"131",131,"1982-02-08",188.528833333333
"132",132,"1982-02-09",188.51275
"133",133,"1982-02-10",194.286666666667
"134",134,"1982-02-11",194.270583333333
"135",135,"1982-02-12",194.286666666667
"136",136,"1982-02-13",194.351
"137",137,"1982-02-14",195.637666666667
"138",138,"1982-02-15",195.685916666667
"139",139,"1982-02-16",195.621583333333
"140",140,"1982-02-17",195.637666666667
"141",141,"1982-02-18",195.637666666667
"142",142,"1982-02-19",195.492916666667
"143",143,"1982-02-20",196.86
"144",144,"1982-02-21",196.924333333333
"145",145,"1982-02-22",198.45225
"146",146,"1982-02-23",198.79
"147",147,"1982-02-24",198.854333333333
"148",148,"1982-02-25",198.854333333333
"149",149,"1982-02-26",198.8865
"150",150,"1982-02-27",198.74175
"151",151,"1982-02-28",199.063416666667
"152",152,"1982-03-01",198.822166666667
"153",153,"1982-03-02",202.617833333333
"154",154,"1982-03-03",202.875166666667
"155",155,"1982-03-04",202.826916666667
"156",156,"1982-03-05",210.546916666667
"157",157,"1982-03-06",210.6595
"158",158,"1982-03-07",210.868583333333
"159",159,"1982-03-08",219.794833333333
