"","Date","P","R"
"1",1981-01-01,0,0.0929698707308544
"2",1981-01-02,0.298143999302388,0.0758438419120128
"3",1981-01-03,0.0120120000183582,0.0685041152753664
"4",1981-01-04,0.0408870000470429,0.0636109641842688
"5",1981-01-05,0,0.0587178130931712
"6",1981-01-06,0,0.0562712375476224
"7",1981-01-07,2.28805499706268,0.06116438863872
"8",1981-01-08,0.108031000324711,0.0660575397298176
"9",1981-01-09,0,0.0685041152753664
"10",1981-01-10,0,0.0660575397298176
"11",1981-01-11,0,0.06116438863872
"12",1981-01-12,0,0.0538246620020736
"13",1981-01-13,0,0.048931510910976
"14",1981-01-14,0,0.048931510910976
"15",1981-01-15,0,0.0513780864565248
"16",1981-01-16,0,0.0562712375476224
"17",1981-01-17,0.719718996548653,0.0587178130931712
"18",1981-01-18,0,0.0587178130931712
"19",1981-01-19,0,0.0587178130931712
"20",1981-01-20,0,0.0587178130931712
"21",1981-01-21,0,0.0562712375476224
"22",1981-01-22,0,0.0562712375476224
"23",1981-01-23,0.0207129997234791,0.0562712375476224
"24",1981-01-24,0,0.0562712375476224
"25",1981-01-25,0,0.0562712375476224
"26",1981-01-26,0,0.0538246620020736
"27",1981-01-27,0,0.0562712375476224
"28",1981-01-28,0,0.0587178130931712
"29",1981-01-29,0.486563002276421,0.0562712375476224
"30",1981-01-30,0.142527000385523,0.0513780864565248
"31",1981-01-31,0,0.0464849353654272
"32",1981-02-01,0,0.0415917842743296
"33",1981-02-02,4.92653699588776,0.880767196397568
"34",1981-02-03,5.82143100528717,0.709506908209152
"35",1981-02-04,0,0.464849353654272
"36",1981-02-05,0.0957879997521639,0.3058219431936
"37",1981-02-06,0,0.176153439279514
"38",1981-02-07,0.110109999632835,0.229978101281587
"39",1981-02-08,0.715099004626275,0.205512345826099
"40",1981-02-09,3.48455799236299,0.171260288188416
"41",1981-02-10,0,0.14190138164183
"42",1981-02-11,1.62500800704956,2.6423015891927
"43",1981-02-12,9.81295696945191,3.40074000831283
"44",1981-02-13,0,0.912572678489702
"45",1981-02-14,0,0.67280827502592
"46",1981-02-15,0,0.526013742292992
"47",1981-02-16,0,0.403684965015552
"48",1981-02-17,0.744282004332541,0.494208260200858
"49",1981-02-18,0,0.785350750121165
"50",1981-02-19,0,0.924805556217446
"51",1981-02-20,2.84576597738267,9.95756247038362
"52",1981-02-21,13.0403350234985,9.54164462764032
"53",1981-02-22,2.07900001835823,2.93589065465856
"54",1981-02-23,0,1.46794532732928
"55",1981-02-24,7.27226496181488,6.36109641842688
"56",1981-02-25,4.12304200029372,3.84112360651162
"57",1981-02-26,6.32608899765014,3.30287698649088
"58",1981-02-27,0.864325005507468,2.02331797616886
"59",1981-02-28,0.00985600005220622,1.36274257887068
"60",1981-03-01,0.773388002276419,1.1131918732247
"61",1981-03-02,0,0.910126102944154
"62",1981-03-03,0.000846999981068075,0.731526088119091
"63",1981-03-04,0,0.604304159750554
"64",1981-03-05,0,0.572498677658419
"65",1981-03-06,0,0.521120591201894
"66",1981-03-07,0.231230998402834,0.491761684655309
"67",1981-03-08,0.654577003598214,0.474635655836467
"68",1981-03-09,0,0.445276749289882
"69",1981-03-10,0,0.42815072047104
"70",1981-03-11,0.0942479994853958,0.411024691652198
"71",1981-03-12,0.28667099968791,0.396345238378906
"72",1981-03-13,0,0.381665785105613
"73",1981-03-14,0.265880996911227,0.36698633183232
"74",1981-03-15,0.000153999996557832,0.342520576376832
"75",1981-03-16,0,0.359646605195674
"76",1981-03-17,0,0.308268518739149
"77",1981-03-18,0.180102999660373,0.271569885555917
"78",1981-03-19,0,0.256890432282624
"79",1981-03-20,0,0.254443856737075
"80",1981-03-21,0.0125509999919683,0.24465755455488
"81",1981-03-22,0,0.239764403463782
"82",1981-03-23,0,0.239764403463782
"83",1981-03-24,0,0.251997281191526
"84",1981-03-25,0,0.254443856737075
"85",1981-03-26,0,0.247104130100429
"86",1981-03-27,1.42188200433254,0.308268518739149
"87",1981-03-28,0.229306000238657,0.322947972012442
"88",1981-03-29,0,0.376772634014515
"89",1981-03-30,0,0.528460317838541
"90",1981-03-31,1.60136899471283,0.768224721302323
