"","Date","P","R"
"1",1981-01-01,0,0.0097863021821952
"2",1981-01-02,0.103214999198914,0.00905232951853056
"3",1981-01-03,0.0169049999937415,0.0085630144094208
"4",1981-01-04,0,0.00709506908209152
"5",1981-01-05,0,0.00660575397298176
"6",1981-01-06,0,0.00636109641842688
"7",1981-01-07,0.160545004606247,0.006116438863872
"8",1981-01-08,0,0.00562712375476224
"9",1981-01-09,0,0.00562712375476224
"10",1981-01-10,0.00782250008918345,0.00562712375476224
"11",1981-01-11,0,0.00538246620020736
"12",1981-01-12,0,0.00513780864565248
"13",1981-01-13,0,0.00513780864565248
"14",1981-01-14,0,0.0048931510910976
"15",1981-01-15,0,0.0048931510910976
"16",1981-01-16,0,0.0048931510910976
"17",1981-01-17,0.0573300004005433,0.00464849353654272
"18",1981-01-18,0,0.00464849353654272
"19",1981-01-19,0,0.00464849353654272
"20",1981-01-20,0,0.0048931510910976
"21",1981-01-21,0,0.0048931510910976
"22",1981-01-22,0,0.0048931510910976
"23",1981-01-23,0,0.0048931510910976
"24",1981-01-24,0,0.00464849353654272
"25",1981-01-25,0,0.00440383598198784
"26",1981-01-26,0,0.00464849353654272
"27",1981-01-27,0,0.00464849353654272
"28",1981-01-28,0,0.00464849353654272
"29",1981-01-29,0,0.00440383598198784
"30",1981-01-30,0.0430500002503394,0.00440383598198784
"31",1981-01-31,0,0.00440383598198784
"32",1981-02-01,0,0.00440383598198784
"33",1981-02-02,0.0989624994993208,0.0269123310010368
"34",1981-02-03,0.455804998397828,0.0513780864565248
"35",1981-02-04,0,0.0318054820921344
"36",1981-02-05,0,0.0185939741461709
"37",1981-02-06,0,0.0149241108278477
"38",1981-02-07,0,0.0132115079459635
"39",1981-02-08,0.126104999899864,0.0139454806096282
"40",1981-02-09,0.395639998197554,0.0154134259369574
"41",1981-02-10,0,0.0159027410460672
"42",1981-02-11,0,0.036698633183232
"43",1981-02-12,0.355319996595382,0.124775352822989
"44",1981-02-13,0,0.0538246620020736
"45",1981-02-14,0,0.036698633183232
"46",1981-02-15,0,0.0269123310010368
"47",1981-02-16,0,0.024465755455488
"48",1981-02-17,0.0337575000375509,0.0293589065465856
"49",1981-02-18,0,0.036698633183232
"50",1981-02-19,0,0.0415917842743296
"51",1981-02-20,0.256252502202988,0.100309597367501
"52",1981-02-21,1.2638325176239,0.479528806927565
"53",1981-02-22,0.0775425011515617,0.232424676827136
"54",1981-02-23,0,0.127221928368538
"55",1981-02-24,0.156659998297691,0.220191799099392
"56",1981-02-25,1.90658999919892,0.97863021821952
"57",1981-02-26,1.84773750400543,1.07649324004147
"58",1981-02-27,0.20543250310421,1.2232877727744
"59",1981-02-28,0,0.73397266366464
"60",1981-03-01,0.0080849999561906,0.36698633183232
"61",1981-03-02,0,0.24465755455488
"62",1981-03-03,0,0.220191799099392
"63",1981-03-04,0,0.171260288188416
"64",1981-03-05,0,0.146794532732928
"65",1981-03-06,0,0.134561655005184
"66",1981-03-07,0.113242499649525,0.12232877727744
"67",1981-03-08,0.112034999549389,0.117435626186342
"68",1981-03-09,0,0.114989050640794
"69",1981-03-10,0,0.107649324004147
"70",1981-03-11,0.030502500012517,0.105202748458598
"71",1981-03-12,0,0.097863021821952
"72",1981-03-13,0,0.0929698707308544
"73",1981-03-14,0,0.0880767196397568
"74",1981-03-15,0,0.0831835685486592
"75",1981-03-16,0,0.0758438419120128
"76",1981-03-17,0,0.0709506908209152
"77",1981-03-18,0,0.0660575397298176
"78",1981-03-19,0,0.06116438863872
"79",1981-03-20,0,0.0562712375476224
"80",1981-03-21,0.171517500400543,0.0538246620020736
"81",1981-03-22,0,0.0538246620020736
"82",1981-03-23,0,0.0562712375476224
"83",1981-03-24,0,0.0562712375476224
"84",1981-03-25,0,0.0538246620020736
"85",1981-03-26,0,0.0513780864565248
"86",1981-03-27,0.0691424991488458,0.06116438863872
"87",1981-03-28,0.244334999799728,0.073397266366464
"88",1981-03-29,0,0.085630144094208
"89",1981-03-30,0,0.0562712375476224
"90",1981-03-31,0.034387499436736,0.0464849353654272
"91",1981-04-01,0,0.0415917842743296
"92",1981-04-02,0.705337512016297,0.132115079459635
"93",1981-04-03,0,0.156580834915123
"94",1981-04-04,0,0.12232877727744
"95",1981-04-05,0,0.097863021821952
"96",1981-04-06,0.500377497196198,0.132115079459635
"97",1981-04-07,0,0.100309597367501
"98",1981-04-08,0,0.0782904174575616
"99",1981-04-09,0,0.0636109641842688
"100",1981-04-10,0.0560699997246267,0.0562712375476224
"101",1981-04-11,0,0.048931510910976
"102",1981-04-12,0.0642075001001359,0.0440383598198784
"103",1981-04-13,0,0.036698633183232
"104",1981-04-14,0,0.0391452087287808
"105",1981-04-15,0.313267505407334,0.0513780864565248
"106",1981-04-16,0,0.0391452087287808
"107",1981-04-17,0,0.036698633183232
"108",1981-04-18,0.0315000003129245,0.0391452087287808
"109",1981-04-19,0.0109724998623133,0.036698633183232
"110",1981-04-20,0,0.0342520576376832
"111",1981-04-21,0.00126000001095235,0.0293589065465856
"112",1981-04-22,0,0.0269123310010368
"113",1981-04-23,0,0.0269123310010368
"114",1981-04-24,0.292792502403259,0.0513780864565248
"115",1981-04-25,0.335580000400543,0.0636109641842688
"116",1981-04-26,0.0353325001001358,0.0587178130931712
"117",1981-04-27,0,0.0464849353654272
"118",1981-04-28,0,0.0391452087287808
"119",1981-04-29,0.102217500150204,0.0391452087287808
"120",1981-04-30,0.284182505607605,0.0538246620020736
"121",1981-05-01,0,0.0440383598198784
"122",1981-05-02,0,0.036698633183232
"123",1981-05-03,0,0.0318054820921344
"124",1981-05-04,0,0.0293589065465856
"125",1981-05-05,0.0354375,0.0269123310010368
"126",1981-05-06,0,0.0269123310010368
"127",1981-05-07,0.003675000035204,0.024465755455488
"128",1981-05-08,0,0.0220191799099392
"129",1981-05-09,0,0.0200619194735002
"130",1981-05-10,0,0.0188386317007258
"131",1981-05-11,0,0.0185939741461709
"132",1981-05-12,0.0169575001001358,0.0198172619189453
"133",1981-05-13,0.192569999098778,0.0269123310010368
"134",1981-05-14,0,0.0220191799099392
"135",1981-05-15,0,0.0190832892552806
"136",1981-05-16,0.428872502803802,0.0415917842743296
"137",1981-05-17,0.425617503404619,0.073397266366464
"138",1981-05-18,0,0.048931510910976
"139",1981-05-19,0,0.036698633183232
"140",1981-05-20,0,0.0293589065465856
"141",1981-05-21,0,0.0440383598198784
"142",1981-05-22,0,0.0538246620020736
"143",1981-05-23,0,0.0440383598198784
"144",1981-05-24,0,0.0342520576376832
"145",1981-05-25,0,0.0269123310010368
"146",1981-05-26,0,0.0234871252372685
"147",1981-05-27,0,0.0205512345826099
"148",1981-05-28,0,0.0200619194735002
"149",1981-05-29,0,0.0215298648008294
"150",1981-05-30,0.243967501401901,0.024465755455488
"151",1981-05-31,0.172882499098778,0.0269123310010368
"152",1981-06-01,0.295049998998642,0.024465755455488
"153",1981-06-02,0,0.0171260288188416
"154",1981-06-03,0,0.0137008230550733
"155",1981-06-04,0.0726075008511542,0.0134561655005184
"156",1981-06-05,0,0.014190138164183
"157",1981-06-06,0,0.0114989050640794
"158",1981-06-07,0.269219998598099,0.012232877727744
"159",1981-06-08,0,0.00905232951853056
"160",1981-06-09,0.380992503404618,0.0161473986006221
"161",1981-06-10,0.145320001602173,0.0232424676827136
"162",1981-06-11,0.0817949995994568,0.014190138164183
"163",1981-06-12,0,0.0110095899549696
"164",1981-06-13,0.037484999924898,0.00929698707308544
"165",1981-06-14,0,0.00807369930031104
"166",1981-06-15,0,0.00709506908209152
"167",1981-06-16,0,0.00636109641842688
"168",1981-06-17,0,0.006116438863872
"169",1981-06-18,0,0.0048931510910976
"170",1981-06-19,0,0.00440383598198784
"171",1981-06-20,0,0.006116438863872
"172",1981-06-21,0.818370005607605,0.0151687683824026
"173",1981-06-22,0.000157499996479601,0.0129668503914086
"174",1981-06-23,0.547155006408691,0.0227531525736038
"175",1981-06-24,0,0.0124775352822989
"176",1981-06-25,0,0.0124775352822989
"177",1981-06-26,0.61299000120163,0.0220191799099392
"178",1981-06-27,0,0.014190138164183
"179",1981-06-28,0,0.00954164462764032
"180",1981-06-29,0,0.0073397266366464
"181",1981-06-30,0,0.006116438863872
"182",1981-07-01,0,0.00513780864565248
"183",1981-07-02,0,0.0048931510910976
"184",1981-07-03,0.0114449998810887,0.00513780864565248
"185",1981-07-04,0,0.0048931510910976
"186",1981-07-05,0.842047506809233,0.0232424676827136
"187",1981-07-06,0.881527489185332,0.0807369930031104
"188",1981-07-07,0,0.036698633183232
"189",1981-07-08,0,0.024465755455488
"190",1981-07-09,0,0.0166367137097318
"191",1981-07-10,0.12988499879837,0.0134561655005184
"192",1981-07-11,0,0.0222638374644941
"193",1981-07-12,0,0.0207958921371648
"194",1981-07-13,0.165060000300407,0.018349316591616
"195",1981-07-14,0.435907498598098,0.018349316591616
