"","Date","P","R"
"1",1981-01-01,0,0.212852072462746
"2",1981-01-02,0.352890416689216,0.212852072462746
"3",1981-01-03,0.373320416937273,0.205512345826099
"4",1981-01-04,0,0.185939741461709
"5",1981-01-05,0,0.176153439279514
"6",1981-01-06,0,0.161473986006221
"7",1981-01-07,0.908189168741305,0.16392056155177
"8",1981-01-08,0.328393333603939,0.166367137097318
"9",1981-01-09,0,0.156580834915123
"10",1981-01-10,0,0.149241108278477
"11",1981-01-11,0.0113499999048654,0.149241108278477
"12",1981-01-12,0,0.161473986006221
"13",1981-01-13,0,0.151687683824026
"14",1981-01-14,0,0.137008230550733
"15",1981-01-15,0,0.134561655005184
"16",1981-01-16,0,0.132115079459635
"17",1981-01-17,0.553974579319359,0.134561655005184
"18",1981-01-18,0.0906108340563563,0.137008230550733
"19",1981-01-19,0.143861250501747,0.132115079459635
"20",1981-01-20,0,0.129668503914086
"21",1981-01-21,0,0.124775352822989
"22",1981-01-22,0.110946249687113,0.12232877727744
"23",1981-01-23,0.00690458326709147,0.12232877727744
"24",1981-01-24,0.107352083347427,0.119882201731891
"25",1981-01-25,0,0.119882201731891
"26",1981-01-26,0,0.117435626186342
"27",1981-01-27,0,0.119882201731891
"28",1981-01-28,0,0.117435626186342
"29",1981-01-29,0,0.107649324004147
"30",1981-01-30,0,0.112542475095245
"31",1981-01-31,0,0.105202748458598
"32",1981-02-01,0,0.10275617291305
"33",1981-02-02,4.80029336923362,0.36698633183232
"34",1981-02-03,8.37601619299254,1.46794532732928
"35",1981-02-04,0,0.48931510910976
"36",1981-02-05,0.0162683332515881,0.342520576376832
"37",1981-02-06,0,0.269123310010368
"38",1981-02-07,0.834319597541509,0.232424676827136
"39",1981-02-08,0.22529750105987,0.207958921371648
"40",1981-02-09,6.202396641771,0.195726043643904
"41",1981-02-10,0.0935429174474751,0.18349316591616
"42",1981-02-11,0.801877501984436,1.71260288188416
"43",1981-02-12,10.0531678206921,5.62712375476224
"44",1981-02-13,0,2.20191799099392
"45",1981-02-14,0,0.97863021821952
