"","Date","P","R"
"1",1981-01-01,0,0.06116438863872
"2",1981-01-02,0.421882499814034,0.0587178130931712
"3",1981-01-03,0.188759999739937,0.0538246620020736
"4",1981-01-04,0.260227498233318,0.0513780864565248
"5",1981-01-05,0,0.048931510910976
"6",1981-01-06,0.298154996423051,0.0464849353654272
"7",1981-01-07,2.44656749367714,0.048931510910976
"8",1981-01-08,0.0174524999368004,0.048931510910976
"9",1981-01-09,0,0.0464849353654272
"10",1981-01-10,0,0.0440383598198784
"11",1981-01-11,0,0.0415917842743296
"12",1981-01-12,0,0.0415917842743296
"13",1981-01-13,0,0.0415917842743296
"14",1981-01-14,0,0.0415917842743296
"15",1981-01-15,0,0.0415917842743296
"16",1981-01-16,0.163994999476243,0.0391452087287808
"17",1981-01-17,0.154147499187849,0.0391452087287808
"18",1981-01-18,0,0.0391452087287808
"19",1981-01-19,0,0.0391452087287808
"20",1981-01-20,0,0.036698633183232
"21",1981-01-21,0,0.036698633183232
"22",1981-01-22,0,0.036698633183232
"23",1981-01-23,0,0.036698633183232
"24",1981-01-24,0,0.0342520576376832
"25",1981-01-25,0,0.0342520576376832
"26",1981-01-26,0,0.0391452087287808
"27",1981-01-27,0,0.0415917842743296
"28",1981-01-28,0,0.0440383598198784
"29",1981-01-29,0,0.0391452087287808
"30",1981-01-30,0,0.036698633183232
"31",1981-01-31,0,0.0342520576376832
"32",1981-02-01,0.138157499563415,0.0318054820921344
"33",1981-02-02,1.81603499293327,0.905232951853056
"34",1981-02-03,5.05488752603531,0.474635655836467
"35",1981-02-04,0,0.190832892552806
"36",1981-02-05,0.242872499093414,0.149241108278477
"37",1981-02-06,0,0.12232877727744
"38",1981-02-07,0,0.0929698707308544
"39",1981-02-08,2.31952500557899,0.215298648008294
"40",1981-02-09,1.36782750427723,0.38655893619671
"41",1981-02-10,0,0.185939741461709
"42",1981-02-11,0.694784995257856,1.26243298150318
"43",1981-02-12,8.09181750297547,1.64899191769989
"44",1981-02-13,0,0.491761684655309
"45",1981-02-14,0,0.371879482923418
"46",1981-02-15,0,0.315608245375795
"47",1981-02-16,0,0.276463036647014
"48",1981-02-17,0.26081250116229,0.276463036647014
"49",1981-02-18,0,0.271569885555917
