"","Date","P","R"
"1",1981-01-01,1.43268509066207,9.7863021821952
"2",1981-01-02,0.669360983527101,9.41931585036288
"3",1981-01-03,136.227437748925,9.174658295808
"4",1981-01-04,0,8.93000074125312
"5",1981-01-05,1.47744386772655,8.68534318669824
"6",1981-01-06,0,8.44068563214336
"7",1981-01-07,69.6802258185763,8.07369930031104
"8",1981-01-08,135.59970348615,7.9513705230336
"9",1981-01-09,0,7.70671296847872
"10",1981-01-10,0,7.46205541392384
"11",1981-01-11,87.9720174516838,7.3397266366464
"12",1981-01-12,0,7.09506908209152
"13",1981-01-13,0.209244767519857,6.85041152753664
"14",1981-01-14,91.3218533568733,6.7280827502592
"15",1981-01-15,0,6.48342519570432
"16",1981-01-16,0,6.36109641842688
"17",1981-01-17,0.00929527710056017,6.116438863872
"18",1981-01-18,0,5.99411008659456
"19",1981-01-19,0.0843647428343962,5.87178130931712
"20",1981-01-20,0,5.67605526567322
"21",1981-01-21,2.50234919301994,5.62712375476224
"22",1981-01-22,8.10386501082213,5.43139771111834
"23",1981-01-23,102.204400171255,5.38246620020736
"24",1981-01-24,34.2998754467138,5.23567166747443
"25",1981-01-25,0.058903767187834,5.13780864565248
"26",1981-01-26,0.00141449864912228,5.01547986837504
"27",1981-01-27,2.52093975486171,4.8931510910976
"28",1981-01-28,0,4.84421958018662
"29",1981-01-29,0,4.74635655836467
"30",1981-01-30,0,4.6974250474537
"31",1981-01-31,0,4.6974250474537
"32",1981-02-01,0,4.64849353654272
"33",1981-02-02,93.7398380417362,4.6974250474537
"34",1981-02-03,291.479681135609,4.77082231382016
"35",1981-02-04,0,5.5047949774848
"36",1981-02-05,0,6.48342519570432
"37",1981-02-06,0,7.58438419120128
"38",1981-02-07,0,7.63331570211226
"39",1981-02-08,2.58267252328103,7.53545268029031
"40",1981-02-09,237.632443967808,7.09506908209152
"41",1981-02-10,0.684718396114502,6.97274030481408
"42",1981-02-11,9.88017224522495,7.46205541392384
"43",1981-02-12,311.644167697476,8.31835685486592
"44",1981-02-13,0,9.29698707308544
"45",1981-02-14,0.540944711597796,10.6426036231373
"46",1981-02-15,0.0489012401793127,11.9882201731891
"47",1981-02-16,0.44758779712359,13.7008230550733
"48",1981-02-17,0.0509219530621435,15.6580834915123
"49",1981-02-18,0,16.5143849324544
"50",1981-02-19,0,17.6153439279514
"51",1981-02-20,15.2077804838213,19.8172619189453
"52",1981-02-21,34.054257774999,22.9978101281587
"53",1981-02-22,16.3857547772058,26.423015891927
"54",1981-02-23,0,39.1452087287808
"55",1981-02-24,0,53.5800044475187
"56",1981-02-25,0.300783040290362,77.0671296847872
"57",1981-02-26,0.0188936609415876,66.0575397298176
"58",1981-02-27,121.937767912616,58.7178130931712
"59",1981-02-28,0,51.8674015656346
"60",1981-03-01,63.8598669560437,46.4849353654272
"61",1981-03-02,3.15665587015435,40.1238389470003
"62",1981-03-03,16.1592329089747,36.2093180741222
"63",1981-03-04,0,33.7627425285734
"64",1981-03-05,0,30.8268518739149
"65",1981-03-06,28.725538160133,28.8695914374758
"66",1981-03-07,14.647032791738,26.9123310010368
"67",1981-03-08,0,24.9550705645978
"68",1981-03-09,0,23.2424676827136
"69",1981-03-10,0.982369333965797,21.7745223553843
"70",1981-03-11,0.0221268007862873,20.0619194735002
"71",1981-03-12,0,18.9609604780032
"72",1981-03-13,2.17287203979775,17.8600014825062
"73",1981-03-14,31.7672154963339,17.0037000415642
"74",1981-03-15,27.0306656284406,16.1473986006221
"75",1981-03-16,8.29815650801875,14.9241108278477
"76",1981-03-17,0.034756253368161,13.7008230550733
"77",1981-03-18,368.187742027688,10.275617291305
"78",1981-03-19,44.8943694603636,10.0309597367501
"79",1981-03-20,18.7129082123011,11.0095899549696
"80",1981-03-21,0.0866885618742944,11.9882201731891
"81",1981-03-22,0,12.9668503914086
"82",1981-03-23,0,13.4561655005184
"83",1981-03-24,0,13.4561655005184
"84",1981-03-25,0,12.9668503914086
"85",1981-03-26,0,12.5998640595763
"86",1981-03-27,0,12.9668503914086
"87",1981-03-28,0.00404142480587469,12.7221928368538
"88",1981-03-29,45.3063927969382,11.9882201731891
"89",1981-03-30,23.5848458071544,12.7221928368538
"90",1981-03-31,311.671347041053,14.4347957187379
"91",1981-04-01,2.27875737210172,23.2424676827136
"92",1981-04-02,97.5406969589877,39.1452087287808
"93",1981-04-03,101.459363398081,51.3780864565248
"94",1981-04-04,0,57.4945253203968
"95",1981-04-05,20.2216731331933,67.280827502592
"96",1981-04-06,86.0183926852426,122.573434831995
"97",1981-04-07,0.53791364108793,138.720833432617
"98",1981-04-08,0,120.616174395556
"99",1981-04-09,0,104.468775794934
"100",1981-04-10,71.3888391400513,113.276447758909
"101",1981-04-11,0,131.136449241416
"102",1981-04-12,1.34508720764423,129.179188804977
"103",1981-04-13,0,113.031790204355
"104",1981-04-14,0,93.9485009490739
"105",1981-04-15,109.685784573015,81.2263081122202
"106",1981-04-16,0,70.2167181572506
"107",1981-04-17,0.237736814334961,62.6323339660493
"108",1981-04-18,8.64329418595114,56.7605526567322
"109",1981-04-19,95.3925786644066,55.7819224385126
"110",1981-04-20,0,57.2498677658419
"111",1981-04-21,3.74488525464381,53.8246620020736
"112",1981-04-22,0,47.7082231382016
"113",1981-04-23,0,42.815072047104
"114",1981-04-24,5.94827005432769,40.6131540561101
"115",1981-04-25,162.188843534047,41.3471267197747
"116",1981-04-26,0.153372071350011,43.0597296016589
"117",1981-04-27,0,45.5063051472077
"118",1981-04-28,0.405152837649922,46.2402778108723
"119",1981-04-29,0,46.2402778108723
"120",1981-04-30,229.950200612513,56.5158951021773
"121",1981-05-01,0,69.238087939031
"122",1981-05-02,2.81404408676943,63.6109641842688
"123",1981-05-03,2.55660533037084,56.7605526567322
"124",1981-05-04,0,51.8674015656346
"125",1981-05-05,0,47.9528806927565
"126",1981-05-06,0,45.7509627017626
"127",1981-05-07,85.3942958661401,45.7509627017626
"128",1981-05-08,0,46.2402778108723
"129",1981-05-09,0,43.3043871562138
"130",1981-05-10,0,38.655893619671
"131",1981-05-11,43.502401698417,35.2306878559027
"132",1981-05-12,12.8337465294276,35.9646605195674
"133",1981-05-13,334.406078605197,44.772332483543
"134",1981-05-14,80.1825753141134,53.5800044475187
"135",1981-05-15,0.0317251848719663,55.5372648839578
"136",1981-05-16,83.8338006546624,51.3780864565248
"137",1981-05-17,225.077960291936,52.1120591201894
"138",1981-05-18,33.2055586022937,54.0693195566285
"139",1981-05-19,1.14998742725545,52.8460317838541
"140",1981-05-20,0,47.2189080290918
"141",1981-05-21,0,41.3471267197747
"142",1981-05-22,2.29886345913949,36.9432907377869
"143",1981-05-23,12.7304881001514,33.5180849740186
"144",1981-05-24,0,31.0715094284698
"145",1981-05-25,0,28.8695914374758
"146",1981-05-26,99.5070522200084,27.8909612192563
"147",1981-05-27,62.2678484487958,26.6676734464819
"148",1981-05-28,66.185504659156,26.9123310010368
"149",1981-05-29,129.205058097474,30.58219431936
"150",1981-05-30,85.7883346713169,37.1879482923418
"151",1981-05-31,145.066640189568,38.4112360651162
"152",1981-06-01,57.9884848770604,36.698633183232
"153",1981-06-02,0,35.4753454104576
"154",1981-06-03,3.39631238988927,32.2947972012442
"155",1981-06-04,34.4676955821068,29.3589065465856
"156",1981-06-05,19.0752220010956,27.1569885555917
"157",1981-06-06,0,24.7104130100429
"158",1981-06-07,168.372021685199,23.0712073945252
"159",1981-06-08,30.2699686293966,21.6032620671959
"160",1981-06-09,32.5424617913695,21.1384127135416
"161",1981-06-10,106.369492584451,20.6246318489764
"162",1981-06-11,1.03076539532218,20.6735633598874
"163",1981-06-12,42.9320556738319,20.0619194735002
"164",1981-06-13,31.3427648665816,18.3737823470715
"165",1981-06-14,0.419904038412493,16.6367137097318
"166",1981-06-15,37.0608758030139,15.7070150024233
"167",1981-06-16,7.97049799885267,15.0219738496696
"168",1981-06-17,260.868919286787,18.0067960152392
"169",1981-06-18,13.4220769509652,24.2210979009331
"170",1981-06-19,2.08668865219209,25.1997281191526
"171",1981-06-20,2.4626421992917,21.0160839362642
"172",1981-06-21,113.113923291003,17.4196178843075
"173",1981-06-22,96.1027578261625,15.29109715968
"174",1981-06-23,334.468821532924,15.5602204696904
"175",1981-06-24,0.058701695255929,21.8234538662953
"176",1981-06-25,21.3747926943159,25.1997281191526
"177",1981-06-26,242.874980337889,25.9337007828173
"178",1981-06-27,20.7520091065787,41.3471267197747
"179",1981-06-28,0,40.6131540561101
"180",1981-06-29,0,31.0715094284698
